"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.356556350E-1,4.926216602E-2,3.943836689E-2,-1.872634888E-2,6.582417433E-2
6.406556350E-1,1.327711344E-2,3.346811235E-2,-2.227497101E-2,4.233876024E-2
6.456556350E-1,1.262456179E-3,7.069699466E-2,-1.802349091E-2,7.296920634E-2
6.506556350E-1,4.106236994E-2,4.286144674E-2,-1.751804352E-2,6.188783152E-2
6.556556350E-1,-9.621918201E-3,5.882810056E-2,-3.073787689E-2,6.706820261E-2
6.606556350E-1,2.849584818E-2,6.963023543E-2,-2.885627747E-2,8.057957433E-2
6.656556350E-1,2.379275858E-2,7.541829348E-2,-3.102684021E-2,8.495103981E-2
6.706556350E-1,1.716472208E-2,6.774494052E-2,-6.199455261E-2,9.342017557E-2
6.756556350E-1,4.017663002E-2,5.736345053E-2,-4.588222504E-2,8.372517919E-2
6.806556350E-1,2.498011291E-2,8.692057431E-2,-2.136707306E-2,9.292870434E-2
6.856556350E-1,2.674007416E-2,2.433523536E-2,-2.044582367E-2,4.153633291E-2
6.906556350E-1,3.295186162E-2,5.411776900E-2,-1.433658600E-2,6.496226446E-2
6.956556350E-1,2.100226283E-2,6.426990032E-2,-2.200603485E-2,7.110541963E-2
7.006556350E-1,2.774974704E-2,2.853901684E-2,-3.302383423E-2,5.172134540E-2
7.056556350E-1,4.282727838E-3,3.153622150E-2,-2.697277069E-2,4.171816611E-2
7.106556350E-1,1.963518560E-2,5.635115504E-2,-4.202842712E-2,7.298891611E-2
7.156556350E-1,4.074752331E-2,3.087651730E-2,-5.681133270E-2,7.642805440E-2
7.206556350E-1,7.881745696E-3,4.880870879E-2,-4.727840424E-2,6.840803663E-2
7.256556350E-1,4.763537645E-2,5.216141045E-2,-3.851127625E-2,8.045533064E-2
7.306556350E-1,3.609675169E-2,4.982429743E-2,-3.675842285E-2,7.167020125E-2
7.356556350E-1,3.468780220E-2,6.281360984E-2,-1.654815674E-2,7.363854082E-2
7.406556350E-1,-1.256501675E-2,4.487343132E-2,-2.334594727E-2,5.212041575E-2
7.456556350E-1,1.915025711E-2,3.872799873E-2,-1.868343353E-2,4.707080753E-2
7.506556350E-1,-4.302158952E-2,6.230297685E-2,-3.398036957E-2,8.298905714E-2
7.556556350E-1,7.779449224E-4,3.715175390E-2,-3.756427765E-2,5.283874499E-2
7.606556350E-1,8.620008826E-3,6.740002334E-2,-2.454757690E-2,7.224715379E-2
7.656556350E-1,7.811878622E-2,6.429907680E-2,-2.295017242E-2,1.037478985E-1
7.706556350E-1,3.687548637E-2,4.046945274E-2,-1.706123352E-2,5.734687253E-2
7.756556350E-1,1.134168506E-1,4.673488438E-2,-2.911472321E-2,1.260761616E-1
7.806556350E-1,5.794999003E-2,5.554370582E-2,-6.394481659E-2,1.026267225E-1
7.856556350E-1,2.305398881E-2,2.026662230E-3,-8.289146423E-2,8.606153963E-2
7.906556350E-1,-2.515819669E-2,2.481274307E-2,-7.293128967E-2,8.104060768E-2
7.956556350E-1,7.702106237E-2,1.885308325E-2,-4.844665527E-2,9.292341580E-2
8.006556350E-1,-2.040284872E-2,2.118170261E-2,2.311706543E-2,3.740774620E-2
8.056556350E-1,-4.846148193E-2,3.544978797E-2,7.556343079E-2,9.651442778E-2
8.106556350E-1,1.008033454E-1,6.481894851E-2,5.730724335E-2,1.328417505E-1
8.156556350E-1,4.172970355E-2,3.752243519E-2,-6.837558746E-2,8.845632969E-2
8.206556350E-1,5.727083981E-2,4.849328101E-2,-1.563615799E-1,1.734372828E-1
8.256556350E-1,3.140667081E-2,3.427797556E-2,-1.425914764E-1,1.499789576E-1
8.306556350E-1,-6.273901463E-2,6.889651716E-2,-1.160326004E-1,1.488169291E-1
8.356556350E-1,8.218082786E-2,5.040247738E-2,-1.134729385E-1,1.488966285E-1
8.406556350E-1,-6.568389386E-2,5.218954384E-2,-1.122131348E-1,1.401067808E-1
8.456556350E-1,-2.601962090E-1,1.211061627E-1,-2.387647629E-1,3.733328030E-1
8.506556350E-1,-2.175305188E-1,1.433253139E-1,-2.862882614E-1,3.870692972E-1
8.556556350E-1,-7.127795815E-1,-1.320050359E-1,3.731355667E-1,8.152976220E-1
8.606556350E-1,-2.099507570E0,-1.023726389E-1,1.480547905E0,2.571076485E0
8.656556350E-1,-3.338814259E0,1.718747318E-1,-1.082410812E-1,3.344986952E0
8.706556350E-1,-3.265645027E0,9.257630110E-1,-1.205545425E0,3.602056964E0
8.756556350E-1,-2.685566425E0,1.073945522E0,1.861438751E-1,2.898322886E0
8.806556350E-1,-2.876316071E0,8.958051205E-1,1.375583649E0,3.311780688E0
8.856556350E-1,-3.972346067E0,7.713264823E-1,7.396535873E-1,4.113583019E0
8.906556350E-1,-5.393175125E0,8.119407892E-1,-4.115304947E-1,5.469455469E0
8.956556350E-1,-6.615742683E0,8.750715852E-1,-7.014656067E-1,6.710130813E0
9.006556350E-1,-7.039007664E0,6.728388071E-1,-2.621650696E-1,7.075950217E0
9.056556350E-1,-7.120256901E0,4.168021679E-1,2.661714554E-1,7.137410569E0
9.106556350E-1,-6.819370747E0,1.068678498E-1,4.035558701E-1,6.832136961E0
9.156556350E-1,-6.084598541E0,-9.873390198E-2,3.760786057E-1,6.097009341E0
9.206556350E-1,-5.492528439E0,-8.791576326E-2,2.086687088E-1,5.497193871E0
9.256556350E-1,-4.797976971E0,-6.208705902E-2,-4.255390167E-2,4.798567354E0
9.306556350E-1,-3.984991312E0,-1.145820916E-1,-9.777641296E-2,3.987837138E0
9.356556350E-1,-2.949059010E0,-3.136366904E-1,-1.033191681E-1,2.967489152E0
9.406556350E-1,-1.762782574E0,-4.484726787E-1,5.160045624E-2,1.819668308E0
9.456556350E-1,-6.550830603E-1,-5.657230616E-1,2.702608109E-1,9.067619887E-1
9.506556350E-1,1.866645962E-1,-6.068266034E-1,2.334251404E-1,6.764388326E-1
9.556556350E-1,7.290597558E-1,-7.668738365E-1,3.420829773E-3,1.058128211E0
9.606556350E-1,5.698354840E-1,-9.892517924E-1,-2.824058533E-1,1.176046195E0
9.656556350E-1,-3.991472721E-2,-1.328207374E0,-5.879821777E-1,1.453083292E0
9.706556350E-1,-1.006714702E0,-1.666695714E0,-6.839036942E-1,2.063752252E0
9.756556350E-1,-1.971438527E0,-1.912017465E0,-5.714101791E-1,2.805154228E0
9.806556350E-1,-2.880739450E0,-2.017562866E0,-3.200721741E-1,3.531524585E0
9.856556350E-1,-3.578683615E0,-2.163367748E0,5.965995789E-2,4.182187913E0
9.906556350E-1,-4.128111362E0,-2.268966198E0,4.408540726E-1,4.731158774E0
9.956556350E-1,-4.727175236E0,-2.437515974E0,6.644840240E-1,5.359963512E0
1.000655635E0,-5.308017254E0,-2.652932882E0,6.009035110E-1,5.964409868E0
1.005655635E0,-5.758717060E0,-3.099913836E0,3.861246109E-1,6.551441077E0
1.010655635E0,-6.233246803E0,-3.800964594E0,1.228113174E-1,7.301765552E0
1.015655635E0,-6.575920582E0,-4.667502880E0,-1.397323608E-2,8.064025662E0
1.020655635E0,-6.675821304E0,-5.652799606E0,8.375263214E-2,8.748013945E0
1.025655635E0,-6.476597786E0,-6.603049755E0,5.497541428E-1,9.265463538E0
1.030655635E0,-6.152760506E0,-7.584762573E0,9.154605865E-1,9.809340101E0
1.035655635E0,-5.577407837E0,-8.493278503E0,1.137220383E0,1.022431064E1
1.040655635E0,-5.090745449E0,-9.113513947E0,1.129387856E0,1.049987346E1
1.045655635E0,-4.701536179E0,-9.357177734E0,6.780033112E-1,1.049385087E1
1.050655635E0,-3.764005423E0,-9.268979073E0,1.511898041E-1,1.000522705E1
1.055655635E0,-2.459565163E0,-9.073027611E0,-1.678085327E-1,9.401991838E0
1.060655635E0,-1.174439192E0,-9.053385735E0,-6.468420029E-1,9.152131186E0
1.065655635E0,-1.559057832E-1,-8.492814064E0,-1.976572990E0,8.721183298E0
1.070655635E0,1.194383144E0,-7.795941353E0,-2.507572651E0,8.275939419E0
1.075655635E0,2.955499411E0,-7.135725021E0,-1.584193230E0,7.884365322E0
1.080655635E0,4.802192211E0,-6.543877125E0,1.184654236E-1,8.117722089E0
1.085655635E0,6.367658615E0,-6.168392181E0,1.688186646E0,9.024749996E0
1.090655635E0,7.236701965E0,-5.970983505E0,2.257663727E0,9.649846883E0
1.095655635E0,7.280108452E0,-5.859012127E0,2.009360313E0,9.558531846E0
1.100655635E0,6.762517929E0,-5.833339691E0,1.260988235E0,9.019400868E0
1.105655635E0,5.718029022E0,-5.686793804E0,3.058624268E-1,8.070255975E0
1.110655635E0,4.604737282E0,-5.431699276E0,-6.152467728E-1,7.147411493E0
1.115655635E0,4.409256935E0,-4.661539078E0,-1.296849251E0,6.546244058E0
1.120655635E0,4.170191765E0,-4.046199799E0,-1.848130226E0,6.097361519E0
1.125655635E0,4.180743217E0,-3.539424419E0,-2.202962875E0,5.904166707E0
